"users"	"move"	"mean"	"std"	"mad"	"max"	"min"	"sma"	"energy"	"iqr"	"entropy"	"arCoeff"	"correlation"	"maxInds"	"meanFreq"	"skewness"	"kurtosis"	"bandsEnergy"	"angle"
"1"	1	"WALKING"	0.265696920582133	-0.0182981725176081	-0.10784573454611	-0.545795331328326	-0.367716218227378	-0.502645746562824	-0.580162894375792	-0.391228161564121	-0.488074652257637	-0.39732624422928	-0.272417234574121	-0.471025510180922	0.419189414523343	0.291387598243516	0.57869983345245	-0.447862824369741	-0.817833275504323
"2"	2	"WALKING"	0.273113115788079	-0.0191323183174834	-0.115649958175497	-0.605586497159271	-0.428962986589404	-0.589360062210596	-0.639919016384106	-0.445338262615331	-0.594606120850662	-0.416420578870861	-0.275418067361589	-0.555696502761589	0.538656377546358	0.318318460882285	0.562573167028477	-0.529628436711921	-0.840523072980132
"3"	3	"WALKING"	0.273428719636364	-0.017856067384956	-0.106492632429097	-0.623413602046921	-0.480015920697654	-0.653625579293255	-0.65376509042522	-0.488785606255718	-0.649033311199414	-0.4443462411261	-0.302140261428739	-0.596355164193548	0.531481667504985	0.358242863725367	0.630837525601173	-0.562589844666276	-0.85568299601173
"4"	4	"WALKING"	0.277034464752577	-0.0133496817746907	-0.105916135927835	-0.68386446609433	-0.589609330539691	-0.741959040257732	-0.711263696370619	-0.601432842631959	-0.73537619128866	-0.537904614960825	-0.322825709028351	-0.631365637474227	0.576369343078866	0.453226203384897	0.721617814381443	-0.650743936015464	-0.884699279690722
"5"	4	"WALKING_UPSTAIRS"	0.269685855146341	-0.0171085099442602	-0.110053359325203	-0.481157815330894	-0.384255322007236	-0.658285719430894	-0.515643779058537	-0.407285040776341	-0.652598564227642	-0.335708912481301	-0.207907362896748	-0.553102034463415	0.418270395495935	0.303204263150406	0.694858717317073	-0.465734344511382	-0.771587456512195
"6"	5	"WALKING"	0.279177960301325	-0.0154833455336192	-0.105661736816887	-0.507691011391722	-0.402724906078146	-0.646443640175497	-0.537623406579801	-0.424937693851325	-0.635704667196026	-0.376145829957616	-0.207047536694503	-0.589110798350993	0.45007940642649	0.336415672215563	0.62629625692053	-0.47788460870596	-0.751051251327152
"7"	6	"WALKING"	0.269434151902542	-0.0163911123936864	-0.117900692084746	-0.647669170333475	-0.553142396078856	-0.789845077542373	-0.673659441809322	-0.570284142019068	-0.787225882542373	-0.515828841471186	-0.314547746483432	-0.684713506652542	0.540638896524576	0.416248133305085	0.703016736398305	-0.63509571677839	-0.819175049300424
"8"	6	"WALKING_UPSTAIRS"	0.280179098426966	-0.0206949591117978	-0.110940029325843	-0.127000600558652	0.121465311011236	-0.361381608884045	-0.186009027046742	0.067919981494382	-0.376824405674157	0.109988841250562	0.058298403761236	-0.29095148411236	0.127353147076404	-0.0720320883191011	0.37657821868764	-0.0721713917752809	-0.525295044875281
"9"	7	"WALKING_UPSTAIRS"	0.270211697814935	-0.0187904887668182	-0.112492375388312	-0.577518324748052	-0.546403365345779	-0.456473642256981	-0.602693080815584	-0.570104252656169	-0.463887150084221	-0.4229271579	-0.348846664473052	-0.55470264698052	0.553352931266234	0.395843356140227	0.44594118732987	-0.50603718741211	-0.823076146071429
"10"	8	"WALKING_UPSTAIRS"	0.270759063295374	-0.0181894974688612	-0.106809623683986	-0.582958863017438	-0.349383732046263	-0.499472687913167	-0.608402968452313	-0.374858614010676	-0.499817116504626	-0.458383824263345	-0.198128211191068	-0.498257890410676	0.471685275863701	0.265669149795018	0.528647057594306	-0.466895421218149	-0.816005257224199
